n,Matrix_mult,Tmatrix_mult
2,0,1
4,1,1
6,2,3
8,4,5
10,10,9
12,12,14
14,18,26
16,33,35
18,45,49
20,64,63
22,81,83
24,99,107
26,126,133
28,164,174
30,195,192
32,242,245
34,286,275
36,322,325
38,376,381
40,440,483
42,523,536
44,611,638
46,998,791
48,831,834
50,906,947
52,993,1000
54,1125,1216
56,1281,1352
58,1424,1732
60,3176,1719
62,2211,1717
64,1793,1945
66,2192,2386
68,2311,2312
70,2644,2650
72,2900,2987
74,3213,3209
76,3536,3484
78,3564,3486
80,3427,3624
82,4075,3828
84,4456,4033
86,4375,4636
88,4770,5868
90,5837,5737
92,7199,7082
94,8447,7233
96,7739,7828
98,7936,8607
100,8239,9152
102,9102,11307
104,14402,11023
106,10238,10694
108,9808,9092
110,9291,9356
112,10352,9362
114,10577,10380
116,10828,11078
118,11446,11442
120,12112,12124
122,12794,12446
124,14382,13246
126,14040,17355
128,15778,14123
130,15116,15041
132,16116,15707
134,16808,16698
136,17601,18011
138,20534,26223
140,25904,27426
142,24354,25097
144,29532,25544
146,21504,21787
148,23026,23334
150,24855,27672
152,29232,27812
154,30401,27813
156,30831,30131
158,33295,28802
160,31341,29733
162,33028,33472
164,32725,40980
166,47654,43685
168,47663,36494
170,44822,38117
172,39895,37790
174,36431,39369
176,38170,43759
178,42437,44112
180,44081,44502
182,44352,49785
184,47013,44437
186,52189,47251
188,65332,60936
190,62572,47757
192,57909,55935
194,57406,69611
196,70626,62290
198,54424,54134
200,75300,80475
202,72050,61552
204,81088,70667
206,69022,92262
208,99867,71527
210,66609,64207
212,73199,71849
214,71263,74186
216,72650,99733
218,94454,77901
220,77281,83889
222,85854,78843
224,83971,82392
226,93830,86224
228,84473,87427
230,91350,89793
232,94827,94980
234,99260,103812
236,98960,103970
238,101230,100340
240,102307,105153
242,102824,108300
244,117058,114904
246,121094,112294
248,115364,112465
250,119300,124911
252,130529,116900
254,130086,128562
256,119558,126571
258,129153,130613
260,160551,138442
262,131287,134133
264,142257,135992
266,152137,136945
268,146798,134121
270,153067,145786
272,147622,151957
274,164317,179422
276,182632,156436
278,169266,160836
280,174450,154276
282,178751,164772
284,172838,174432
286,183037,183219
288,188733,169358
290,181834,180287
292,193215,178666
294,197840,184971
296,204503,190040
298,199196,196117
300,206607,204317
302,206576,198714
304,228959,208025
306,220313,238701
308,238933,234121
310,330395,286409
312,311744,295105
314,302604,249442
316,243712,242491
318,279000,248182
320,268605,243930
322,261550,250185
324,268377,266217
326,286875,264419
328,281988,286662
330,315935,325623
332,340636,277613
334,282556,293782
336,317212,283633
338,311532,287336
340,318302,300501
342,314283,328720
344,350368,309811
346,324820,295775
348,331647,320245
350,335364,362090
352,406196,344554
354,373507,389673
356,377161,362494
358,383140,383304
360,403164,390021
362,454170,385307
364,426770,423675
366,446897,445267
368,515368,398963
370,576530,425393
372,485044,515984
374,467850,405051
376,459028,429663
378,453300,423460
380,519443,430850
382,454190,423374
384,453440,460096
386,490474,447288
388,506014,473285
390,492356,481088
392,544037,524268
394,741091,1180834
396,822279,656313
398,531775,465683
400,536980,508282
402,561585,575910
404,809558,604194
406,544133,508841
408,596053,577077
410,575241,503916
412,634245,571505
414,847180,561227
416,585031,541974
418,581286,578489
420,700683,647505
422,683249,801970
424,711678,614889
426,630709,566496
428,660538,626647
430,627154,733554
432,957624,763511
434,851277,711517
436,812740,701588
438,724900,692587
440,904880,722406
442,855439,831918
444,745183,686041
446,760039,783283
448,1058767,1008448
450,784299,808074
452,892177,714307
454,821478,712257
456,819354,753059
458,823954,718029
460,777559,755428
462,795791,785733
464,844608,753550
466,840499,744778
468,911220,791987
470,896393,769193
472,1071366,811937
474,811858,767214
476,844410,791201
478,881567,854750
480,994878,1249400
482,1207441,1067847
484,1042789,1388733
486,998553,903581
488,945922,862057
490,1031237,1119753
492,1154497,1070631
494,1007103,1029908
496,1461521,1541147
498,1711282,1404584
500,1719475,1295952
